symbol,price,price_change,price_percent_change
QBTS,9.48,2.57,37.26
RBRK,68.93,13.65,24.69
RGTI,10.41,1.66,18.92
DOCU,88.43,13.73,18.38
SMTC,38.12,5.42,16.55
WXXWY,6.89,0.89,14.83
PTON,6.86,0.79,13.09
FNMA,6.14,0.66,12.04
OKLO,26.71,2.76,11.53
WGS,99.38,10.06,11.26
ULTA,350.11,35.64,11.33
SOUN,9.88,0.97,10.89
FMCKJ,10.99,1.09,11.01
IONQ,23.69,2.32,10.86
FMCC,5.07,0.47,10.22
VNET,11.45,1.05,10.1
AUR,6.89,0.63,10.14
CCI,103.13,9.6,10.27
FNMAS,11.28,1.03,10.05
PONY,14.1,1.29,10.11
FNMAT,10.16,0.91,9.84
MSTR,288.59,25.33,9.62
ASR,283.28,24.79,9.59
TEM,46.26,4.1,9.72
FNMAJ,9.55,0.83,9.52
