symbol,price,price_change,price_percent_change
TNXP,20.53,4.25,26.11
FINV,10.73,1.61,17.65
NEXT,8.5,1.25,17.24
JBSAY,13.65,2.0,17.17
TME,15.12,2.06,15.81
TKAMY,11.6,1.55,15.42
ESLT,408.53,39.27,10.63
BVHMF,8.2,0.65,8.61
STVN,21.79,1.21,5.88
HAGHY,43.75,2.46,5.95
RNMBY,317.75,16.75,5.56
BRRLY,13.6,0.67,5.18
IPGP,66.1,2.78,4.39
SITM,177.79,7.33,4.3
VWDRY,5.62,0.22,4.07
ALHC,16.74,0.65,4.04
X,41.73,1.62,4.04
DB,24.92,0.97,4.05
XIACF,7.7,0.29,3.91
DFS,158.85,5.85,3.83
SAN,7.14,0.26,3.83
XIACY,38.32,1.35,3.65
AU,34.2,1.21,3.67
BAYRY,6.79,0.24,3.66
KLC,17.07,0.67,4.09
