symbol,price,price_change,price_percent_change
QBTS,10.15,3.24,46.89
RGTI,11.22,2.47,28.23
RBRK,70.64,15.36,27.79
SMTC,39.6,6.89,21.06
IONQ,25.0,3.63,16.99
PTON,7.05,0.98,16.14
SOUN,10.34,1.43,16.05
OKLO,27.72,3.77,15.74
DOCU,85.76,11.06,14.81
WXXWY,6.87,0.87,14.5
ULTA,357.48,43.01,13.68
WRD,18.4,2.13,13.09
ROOT,151.73,17.5,13.04
MSTR,297.49,34.23,13.0
VNET,11.65,1.25,12.02
TEM,47.17,5.0,11.87
CAR,61.95,6.46,11.64
AUR,6.97,0.71,11.34
ASR,285.93,27.44,10.62
RSI,10.7,1.02,10.54
ALAB,72.18,6.86,10.5
CCI,103.22,9.69,10.37
WGS,98.47,9.15,10.24
TGTX,40.84,3.78,10.2
FUTU,118.47,10.95,10.18
