symbol,price,price_change,price_percent_change
HSAI,24.08,8.07,50.41
PAY,30.75,6.07,24.59
GH,42.63,6.79,18.95
ZK,32.84,5.12,18.47
NIO,5.22,0.76,17.04
XPEV,26.34,3.39,14.77
RDDT,122.73,15.44,14.39
KC,18.09,1.79,10.98
SMCI,40.84,3.94,10.68
LKNCY,30.99,2.95,10.52
BE,25.0,2.38,10.52
CRDO,43.36,3.91,9.91
TEVA,16.1,1.43,9.75
LEGN,37.19,3.16,9.29
MSTR,260.59,21.32,8.91
IAG,5.55,0.44,8.61
MDB,195.7,15.38,8.53
SARO,28.54,2.24,8.52
LUV,30.53,2.35,8.34
APP,257.76,19.68,8.27
LITE,62.05,4.64,8.08
FTAI,105.58,7.89,8.08
NXT,44.94,3.23,7.74
CORZ,8.63,0.62,7.74
MTN,165.42,11.84,7.71
