symbol,price,price_change,price_percent_change
GAP,21.5,2.02,10.37
MRNA,37.46,3.16,9.21
HMY,11.74,0.89,8.2
AKRBF,21.0,1.58,8.14
BKRIF,13.15,0.95,7.79
CPB,42.97,3.17,7.98
VAL,37.26,2.43,6.98
WBA,11.34,0.73,6.93
CAG,27.72,1.74,6.7
NE,24.47,1.47,6.39
SJM,118.68,7.19,6.45
ZIM,20.95,1.18,5.97
TDW,43.53,2.53,6.17
TWODY,14.8,0.83,5.94
MPW,5.99,0.34,5.93
BAH,114.5,6.17,5.7
FLO,19.67,1.03,5.53
BILI,23.54,1.26,5.67
AVTR,17.05,0.88,5.41
RGTI,8.97,0.46,5.41
KR,67.18,3.4,5.33
GIS,65.46,3.24,5.21
HSY,189.48,9.47,5.26
PII,47.24,2.27,5.06
KHC,32.42,1.55,5.0
