symbol,price,price_change,price_percent_change
INTC,23.84,3.16,15.3
FN,225.49,23.61,11.7
DLTR,65.82,3.9,6.31
DG,78.71,3.86,5.16
NEM,45.84,2.21,5.07
MRCY,44.12,2.02,4.8
BVN,14.23,0.59,4.36
XPEV,25.75,1.02,4.12
SSRM,10.67,0.43,4.17
ALGM,25.93,0.99,3.99
AES,12.28,0.45,3.85
ORLA,8.14,0.29,3.63
SLNO,48.49,1.78,3.82
FCX,38.22,1.44,3.9
VOD,9.49,0.33,3.61
CDE,5.92,0.21,3.69
EGO,15.15,0.51,3.45
FIS,70.34,2.22,3.26
ALKT,25.1,0.82,3.38
AU,32.64,0.99,3.13
SCCO,93.15,2.81,3.11
GOLD,18.93,0.59,3.22
TFPM,18.69,0.5,2.75
OR,19.55,0.58,3.06
