symbol,price,price_change,price_percent_change
PTGX,55.01,16.66,43.43
VRN,5.68,0.78,15.78
DNBBF,25.62,1.99,8.42
ELF,76.44,5.76,8.15
KTOS,29.51,2.22,8.13
TNXP,14.0,0.98,7.52
BECN,119.26,8.17,7.35
MWA,26.83,1.78,7.11
AMKBY,9.73,0.61,6.69
HOG,27.62,1.53,5.88
TTC,77.15,3.9,5.33
AAP,37.24,1.88,5.3
EQNR,24.36,1.19,5.14
WSC,29.55,1.48,5.27
ENPH,64.78,3.15,5.1
ETSY,49.15,2.35,5.03
ADM,51.69,2.25,4.55
ALB,79.12,3.61,4.78
FND,95.5,4.29,4.7
BLTE,66.0,2.81,4.45
SCI,84.54,3.68,4.55
NOG,28.75,1.26,4.59
REGN,738.23,30.72,4.34
SG,25.01,1.07,4.47
TSCO,59.38,2.49,4.38
