symbol,price,price_change,price_percent_change
HSAI,22.43,6.42,40.1
PAY,30.76,6.08,24.66
GH,40.78,4.94,13.76
XPEV,26.06,3.11,13.55
ZK,31.25,3.53,12.73
LKNCY,31.03,2.99,10.66
RDDT,118.72,11.43,10.65
KC,17.87,1.57,9.63
KFY,68.36,5.84,9.33
OKLO,25.96,2.27,9.59
LUV,30.67,2.49,8.84
TEVA,15.95,1.28,8.76
LITE,62.12,4.71,8.2
GRND,16.5,1.26,8.27
MTN,165.71,12.12,7.89
IAG,5.51,0.39,7.73
QFIN,41.1,2.68,6.96
SARO,28.11,1.82,6.9
CRWD,329.37,20.51,6.64
CRDO,42.1,2.65,6.72
ROOT,136.44,8.53,6.67
SMCI,39.36,2.46,6.67
TXNM,51.01,3.14,6.55
ORLA,7.73,0.48,6.62
LEGN,36.24,2.21,6.49
