symbol,price,price_change,price_percent_change
FINV,10.8,1.68,18.42
JBSAY,13.55,1.9,16.31
TNXP,18.45,2.17,13.33
TME,14.73,1.67,12.78
TKAMY,11.31,1.26,12.54
ESLT,410.17,40.91,11.08
NEXT,7.94,0.69,9.53
BVHMF,8.2,0.65,8.61
RIVN,11.66,0.64,5.85
IMPUY,6.64,0.36,5.73
BRRLY,13.6,0.67,5.18
CNX,32.36,1.63,5.3
ALHC,16.91,0.82,5.1
CDE,6.74,0.31,4.82
RNMBY,315.2,14.2,4.72
XIACF,7.75,0.34,4.62
NIO,5.26,0.23,4.57
DB,25.0,1.05,4.38
IPGP,65.74,2.42,3.83
XIACY,38.35,1.38,3.72
AU,34.29,1.3,3.96
MLTX,40.16,1.49,3.85
VWDRY,5.61,0.21,3.89
AG,7.38,0.29,4.09
BAYRY,6.79,0.24,3.66
