symbol,price,price_change,price_percent_change
TNXP,10.96,3.16,40.51
SITM,182.19,29.77,19.53
ASTS,33.8,5.19,18.14
VNET,12.47,1.76,16.43
MRNA,35.21,4.84,15.94
MP,25.66,3.21,14.3
DB,23.88,2.89,13.77
YMM,13.26,1.59,13.62
IVPAF,10.07,1.2,13.53
CE,54.33,6.12,12.69
HII,193.59,21.29,12.36
MSTR,308.55,33.4,12.14
FUTU,121.09,12.91,11.93
MT,33.69,3.43,11.34
DVCMY,6.68,0.67,11.15
TYEKF,9.8,0.97,10.99
BASFY,14.46,1.43,10.97
RKT,14.9,1.46,10.86
SE,146.31,14.0,10.58
CODYY,22.01,2.09,10.49
HSAI,17.37,1.63,10.36
ZK,28.62,2.65,10.2
BF-A,35.86,3.32,10.2
GDS,39.06,3.62,10.2
CLSK,8.55,0.79,10.18
