symbol,price,price_change,price_percent_change
GAP,22.47,2.99,15.32
RGTI,9.45,0.94,11.1
HMY,11.9,1.05,9.72
ELF,70.43,6.01,9.33
CLSK,8.82,0.67,8.21
ZIM,21.39,1.61,8.17
AKRBF,21.0,1.58,8.14
AVGO,194.29,14.84,8.27
LUMN,5.43,0.4,8.05
AVTR,17.43,1.26,7.82
BKRIF,13.15,0.95,7.79
WBA,11.4,0.8,7.59
BILI,23.96,1.68,7.54
GT,9.65,0.68,7.64
BAH,116.27,7.94,7.33
SWKS,71.75,4.82,7.19
DG,81.55,5.31,6.96
MPW,6.05,0.39,6.99
CELH,27.15,1.73,6.81
CPB,42.49,2.69,6.77
CACI,382.38,23.42,6.52
SAIC,108.97,6.81,6.67
NE,24.55,1.55,6.74
MRNA,36.46,2.16,6.3
XPEV,23.61,1.38,6.2
