symbol,price,price_change,price_percent_change
GAP,21.55,2.07,10.62
MRNA,37.73,3.43,10.0
HMY,11.73,0.88,8.11
AKRBF,21.0,1.58,8.14
BKRIF,13.15,0.95,7.79
CPB,42.89,3.1,7.79
VAL,37.32,2.49,7.14
WBA,11.35,0.75,7.08
CAG,27.68,1.7,6.54
TDW,43.62,2.62,6.39
ZIM,21.0,1.23,6.24
NE,24.5,1.5,6.52
SJM,118.41,6.92,6.2
BILI,23.56,1.28,5.72
TWODY,14.8,0.83,5.94
MPW,5.99,0.34,5.93
BAH,114.97,6.64,6.13
RGTI,9.01,0.49,5.82
KR,67.16,3.38,5.3
AVTR,17.08,0.91,5.6
FLO,19.63,0.99,5.31
CACI,377.94,18.98,5.29
HSY,189.2,9.19,5.1
PII,47.29,2.32,5.16
SWKS,70.42,3.49,5.21
