symbol,price,price_change,price_percent_change
HSAI,24.12,8.11,50.69
PAY,30.95,6.27,25.41
GH,42.63,6.79,18.95
ZK,32.88,5.16,18.63
NIO,5.21,0.75,16.82
XPEV,26.33,3.38,14.75
RDDT,123.01,15.72,14.65
KC,18.09,1.79,10.98
SMCI,40.84,3.94,10.68
BE,25.01,2.39,10.57
TEVA,16.11,1.44,9.85
CRDO,43.33,3.88,9.85
LKNCY,30.7,2.66,9.49
LEGN,37.0,2.97,8.7
MSTR,260.33,21.06,8.8
IAG,5.55,0.44,8.6
MDB,195.72,15.4,8.54
SARO,28.55,2.25,8.56
LUV,30.56,2.38,8.44
APP,257.76,19.68,8.27
LITE,61.96,4.55,7.93
FTAI,105.53,7.84,8.03
CORZ,8.62,0.61,7.62
KFY,67.26,4.74,7.58
NXT,44.94,3.23,7.74
