symbol,price,price_change,price_percent_change
GAP,21.53,2.05,10.52
HMY,11.81,0.95,8.8
MRNA,37.35,3.05,8.88
AKRBF,21.0,1.58,8.14
BKRIF,13.15,0.95,7.79
CPB,42.87,3.08,7.74
VAL,37.23,2.4,6.89
WBA,11.34,0.74,6.98
NE,24.48,1.48,6.43
CAG,27.69,1.71,6.57
ZIM,21.01,1.24,6.3
MPW,5.99,0.34,6.11
SJM,118.54,7.05,6.32
TWODY,14.8,0.83,5.99
TDW,43.55,2.55,6.22
RGTI,9.0,0.49,5.76
BILI,23.53,1.25,5.61
BAH,114.53,6.2,5.72
FLO,19.66,1.02,5.47
AVTR,17.05,0.88,5.41
PII,47.37,2.4,5.34
AES,11.44,0.57,5.2
CL,97.9,4.61,4.94
GIS,65.45,3.23,5.19
ANGPY,6.24,0.29,4.87
