symbol,price,price_change,price_percent_change
IONQ,21.82,3.12,16.68
CXM,9.42,1.34,16.58
TLN,199.09,22.53,12.76
DJTWW,12.19,1.28,11.77
NBIS,28.4,2.95,11.59
VKTX,29.55,3.03,11.43
RGTI,8.95,0.9,11.18
VIST,47.24,4.54,10.63
RNA,32.61,3.03,10.24
RNMBY,279.37,25.72,10.14
TGS,26.71,2.44,10.05
GEO,25.92,2.31,9.78
ACHR,7.48,0.67,9.84
CRDO,47.53,4.17,9.62
FNMA,5.65,0.46,8.86
CLF,9.79,0.77,8.54
RKT,14.25,1.07,8.12
AMTM,18.42,1.38,8.1
VRNA,67.6,4.9,7.81
TSLA,248.09,17.51,7.59
SMMT,19.91,1.41,7.62
ONTO,133.99,9.42,7.56
MU,95.64,6.59,7.4
CXW,20.09,1.36,7.26
PLTR,83.65,5.6,7.17
