symbol,price,price_change,price_percent_change
QBTS,10.13,3.22,46.6
RGTI,11.22,2.47,28.23
RBRK,70.56,15.28,27.64
SMTC,39.6,6.89,21.06
IONQ,25.02,3.65,17.08
PTON,7.05,0.98,16.14
SOUN,10.34,1.43,16.05
OKLO,27.67,3.72,15.53
DOCU,85.76,11.06,14.81
WXXWY,6.86,0.86,14.65
ULTA,357.48,43.01,13.68
WRD,18.4,2.13,13.09
ROOT,151.73,17.5,13.04
MSTR,297.49,34.23,13.0
TEM,47.17,5.0,11.87
FNMA,6.13,0.65,11.86
VNET,11.65,1.25,12.02
CAR,61.95,6.46,11.64
AUR,6.97,0.71,11.34
BOLSY,6.69,0.67,11.13
RSI,10.71,1.03,10.64
FMCC,5.09,0.49,10.65
ASR,285.86,27.37,10.59
CCI,103.2,9.67,10.34
ALAB,72.18,6.86,10.5
