symbol,price,price_change,price_percent_change
PTGX,55.95,17.6,45.89
VRN,5.7,0.79,16.09
DNBBF,25.62,1.99,8.42
MWA,26.9,1.85,7.39
KTOS,29.18,1.89,6.93
BECN,118.52,7.42,6.68
LSRCY,20.05,1.14,6.03
WSC,29.76,1.69,6.02
BLTE,66.95,3.76,5.95
TTC,77.24,3.99,5.45
REGN,744.83,37.32,5.27
AMKBY,9.58,0.46,5.04
STVN,22.6,1.04,4.82
ELF,74.04,3.36,4.75
AES,11.78,0.53,4.71
NEE,76.16,3.33,4.57
DRPRY,6.21,0.27,4.55
NSP,94.21,3.85,4.26
EQNR,24.15,0.98,4.23
FIZZ,42.56,1.69,4.14
SMCAY,19.62,0.77,4.08
SCI,84.16,3.3,4.08
CWEN-A,26.97,1.05,4.05
WES,40.49,1.57,4.03
HOG,27.14,1.05,4.02
