symbol,price,price_change,price_percent_change
TNXP,20.53,4.25,26.11
JBSAY,13.7,2.05,17.6
FINV,10.72,1.6,17.54
NEXT,8.5,1.25,17.24
TME,15.09,2.03,15.54
TKAMY,11.54,1.49,14.83
ESLT,408.53,39.27,10.63
BVHMF,8.2,0.65,8.61
HAGHY,43.92,2.63,6.37
STVN,21.76,1.18,5.73
RNMBY,318.18,17.18,5.71
BRRLY,13.6,0.67,5.18
IPGP,66.1,2.78,4.39
SITM,177.79,7.33,4.3
DB,24.93,0.98,4.09
VWDRY,5.62,0.22,4.07
ALHC,16.74,0.65,4.04
X,41.7,1.59,3.96
XIACF,7.7,0.29,3.91
KLC,17.04,0.64,3.9
DFS,158.83,5.84,3.82
SAN,7.14,0.26,3.78
AU,34.19,1.2,3.64
BAYRY,6.78,0.23,3.51
IMPUY,6.5,0.22,3.5
