symbol,price,price_change,price_percent_change
DOCU,81.46,6.76,9.05
ULTA,340.51,26.04,8.3
BEKE,24.26,1.82,8.11
EDU,51.66,3.62,7.54
OKLO,25.41,1.46,6.09
IONQ,22.53,1.16,5.42
ALGM,26.64,0.4,1.52
FUTU,115.04,7.52,7.01
MNSO,20.73,1.01,5.11
HSAI,21.05,0.49,2.38
SSRM,10.69,-0.01,-0.14
APP,284.44,12.44,4.57
CVNA,174.28,7.61,4.57
JD,42.94,1.7,4.12
SHOP,93.48,2.89,3.19
MSTR,274.66,11.4,4.33
MU,100.24,5.36,5.64
FINV,8.61,0.31,3.8
TEM,43.75,1.58,3.76
RGTI,9.15,0.4,4.57
PONY,13.35,0.54,4.22
CC,14.24,0.54,3.94
VRT,87.31,4.22,5.08
AES,12.43,0.15,1.22
PDD,122.65,3.89,3.28
