symbol,price,price_change,price_percent_change
IONQ,21.83,3.13,16.74
CXM,9.42,1.34,16.58
TLN,199.09,22.53,12.76
DJTWW,12.19,1.28,11.77
VKTX,29.55,3.03,11.43
NBIS,28.4,2.95,11.59
RGTI,8.95,0.9,11.18
VIST,47.26,4.56,10.68
RNA,32.61,3.03,10.24
TGS,26.72,2.45,10.09
GEO,25.95,2.34,9.91
RNMBY,278.9,25.25,9.95
ACHR,7.47,0.66,9.77
CRDO,47.53,4.17,9.62
CLF,9.77,0.75,8.37
RKT,14.23,1.05,8.0
AMTM,18.41,1.37,8.04
VRNA,67.6,4.9,7.81
CXW,20.1,1.37,7.31
SMMT,19.91,1.41,7.62
TSLA,248.09,17.51,7.59
ONTO,134.01,9.44,7.57
MU,95.64,6.59,7.4
PLTR,83.65,5.6,7.17
HOOD,38.92,2.56,7.04
