symbol,price,price_change,price_percent_change
RGTI,11.18,-0.04,-0.34
RBRK,69.98,-0.66,-0.94
IONQ,24.75,-0.25,-1.0
PTON,7.0,-0.05,-0.71
SOUN,10.37,0.03,0.29
OKLO,28.4,0.68,2.45
DOCU,86.53,0.76,0.89
WXXWY,6.87,0.87,14.5
ULTA,354.48,-3.0,-0.84
WRD,19.36,0.96,5.22
ROOT,149.51,-2.22,-1.46
VNET,11.38,-0.27,-2.36
AUR,7.03,0.06,0.86
ASR,285.93,27.44,10.62
CCI,103.3,0.08,0.08
TGTX,40.79,-0.05,-0.12
FUTU,115.5,-2.97,-2.51
MP,26.9,0.07,0.24
TNXP,15.48,0.48,3.2
NBIS,28.89,0.14,0.49
CRDO,48.24,-0.91,-1.85
PATH,10.89,0.01,0.09
NU,11.7,-0.02,-0.21
ACHR,8.0,0.1,1.27
FMCKM,8.65,0.71,8.94
