symbol,price,price_change,price_percent_change
PTGX,55.95,17.6,45.89
VRN,5.68,0.77,15.68
DNBBF,25.62,1.99,8.42
MWA,26.92,1.87,7.45
KTOS,29.18,1.89,6.93
BECN,118.52,7.42,6.68
WSC,29.76,1.69,6.02
BLTE,66.95,3.76,5.95
TTC,77.32,4.07,5.55
LSRCY,19.95,1.04,5.5
REGN,744.83,37.32,5.27
STVN,22.66,1.1,5.1
AES,11.78,0.53,4.76
AMKBY,9.56,0.44,4.82
ELF,73.98,3.3,4.67
NEE,76.18,3.35,4.6
DRPRY,6.2,0.26,4.38
EQNR,24.16,0.99,4.27
NSP,94.21,3.85,4.26
SCI,84.15,3.29,4.07
WES,40.53,1.62,4.15
FIZZ,42.56,1.69,4.14
CWEN-A,26.98,1.06,4.09
APGE,37.54,1.4,3.87
HOG,27.14,1.05,4.02
