symbol,price,price_change,price_percent_change
INTC,23.7,3.02,14.6
FQVLF,14.04,1.49,11.87
FN,223.65,21.77,10.78
AG,6.68,0.55,8.88
CPRI,21.12,1.64,8.42
MRCY,45.08,2.98,7.08
DG,79.96,5.11,6.83
DLTR,66.0,4.08,6.59
SLNO,49.03,2.33,4.99
ORLA,8.29,0.44,5.61
ALGM,26.24,1.3,5.21
NEM,45.66,2.03,4.65
SSRM,10.7,0.46,4.49
EGO,15.3,0.65,4.4
BVN,14.2,0.56,4.11
ALKT,25.25,0.97,4.0
CDE,5.94,0.23,4.03
AES,12.28,0.45,3.8
VOD,9.5,0.34,3.71
HL,5.78,0.2,3.68
ABM,47.09,1.58,3.48
ZBH,107.7,3.67,3.53
LZRFY,5.43,0.18,3.43
CBOE,215.29,6.79,3.26
NOC,490.72,15.62,3.29
