symbol,price,price_change,price_percent_change
TNXP,14.65,3.69,33.62
WLY,43.04,5.13,13.53
BJ,113.41,13.32,13.31
DHLGY,47.48,5.4,12.83
DLAKY,8.59,0.84,10.84
BURL,262.28,25.33,10.69
IMPUY,6.18,0.55,9.77
VEEV,240.36,20.42,9.28
BKRIF,13.2,1.0,8.2
SVNDY,14.79,1.05,7.64
CKHUY,6.46,0.43,7.13
VKTX,29.91,1.97,7.03
STVN,20.34,1.28,6.72
NHYDY,6.57,0.41,6.66
ALGM,28.56,1.78,6.65
ZS,209.45,13.0,6.62
ZK,30.16,1.54,5.38
TKAMY,10.44,0.53,5.35
DNBBF,24.88,1.25,5.3
SG,24.2,1.19,5.19
PII,43.38,2.15,5.21
RGTI,8.61,0.43,5.24
EWTX,28.1,1.39,5.22
MHVIY,33.38,1.53,4.8
XPEV,22.66,1.0,4.62
