symbol,price,price_change,price_percent_change
PAY,30.82,0.07,0.23
ZK,31.5,-1.34,-4.08
XPEV,24.96,-1.38,-5.24
RDDT,133.79,11.06,9.01
KC,17.99,-0.1,-0.55
BE,25.86,0.86,3.44
TEVA,16.19,0.09,0.56
MSTR,266.56,5.97,2.29
IAG,5.54,-0.01,-0.25
MDB,203.79,8.09,4.13
SARO,28.55,0.01,0.04
APP,292.0,34.24,13.28
LITE,65.79,3.74,6.03
CORZ,8.93,0.3,3.48
MTN,165.72,0.3,0.18
KFY,67.27,4.75,7.6
ORLA,7.78,-0.03,-0.32
OKLO,27.34,1.87,7.34
SMCI,44.17,3.33,8.15
TSLA,245.15,14.57,6.32
TEM,48.9,3.32,7.28
LI,28.74,-0.75,-2.54
COIN,196.4,4.71,2.46
TXNM,51.18,3.31,6.91
IMPUY,6.65,0.43,6.91
