symbol,price,price_change,price_percent_change
CXM,9.48,1.4,17.33
IONQ,21.7,3.0,16.04
TLN,197.64,21.08,11.94
RGTI,8.91,0.86,10.68
VKTX,29.32,2.8,10.54
SOUN,9.4,0.86,10.07
FNMA,5.68,0.49,9.44
VST,124.43,10.07,8.8
VIST,46.38,3.68,8.62
RDDT,133.2,10.47,8.53
VRNA,67.98,5.28,8.42
SMMT,20.03,1.53,8.27
RNMBY,274.35,20.7,8.16
APP,278.0,20.24,7.85
ACHR,7.34,0.53,7.79
CLF,9.73,0.71,7.93
TSLA,249.4,18.82,8.16
ONTO,134.43,9.86,7.92
CRDO,46.79,3.43,7.91
IOT,38.71,2.81,7.83
DJTWW,11.72,0.81,7.42
RBRK,57.74,3.92,7.27
MU,95.67,6.62,7.43
NBIS,27.31,1.86,7.31
SMNEY,63.28,4.31,7.31
