symbol,price,price_change,price_percent_change
PTGX,55.4,17.05,44.41
VRN,5.62,0.71,14.48
DNBBF,25.62,1.99,8.42
BLTE,67.65,4.46,7.06
BECN,118.66,7.56,6.8
KTOS,29.02,1.73,6.34
MWA,26.78,1.74,6.93
ELF,75.29,4.61,6.52
WSC,29.73,1.66,5.91
LSRCY,19.93,1.02,5.39
AMKBY,9.58,0.46,5.04
TTC,76.78,3.53,4.82
NSP,94.11,3.75,4.16
DRPRY,6.18,0.24,4.04
REGN,736.16,28.65,4.05
SMCAY,19.56,0.71,3.77
SCI,83.86,3.0,3.72
WES,40.35,1.43,3.68
FIZZ,42.27,1.4,3.43
EQNR,23.98,0.81,3.5
AAP,36.59,1.22,3.45
ENPH,63.65,2.02,3.28
NEE,75.12,2.29,3.14
