symbol,price,price_change,price_percent_change
ARQT,16.98,2.36,16.14
HSAI,22.14,2.34,11.79
QFIN,48.2,5.01,11.6
TXHPF,20.03,2.03,11.31
CALM,91.29,8.26,9.95
SAIC,114.56,10.13,9.7
ASND,166.4,13.42,8.77
CELH,29.43,2.35,8.68
QBTS,10.95,0.81,7.93
BIDU,101.33,7.51,8.01
OTLY,9.55,0.71,8.03
INTC,25.9,1.85,7.69
MTSUY,18.92,1.34,7.62
TCOM,66.47,4.74,7.68
LION,8.14,0.55,7.25
ORLA,9.31,0.6,6.85
TAL,14.23,0.93,6.95
CAAP,19.64,1.26,6.83
YMM,13.76,0.85,6.55
UEC,5.42,0.34,6.69
ENPH,61.87,3.74,6.43
SSUMY,24.8,1.47,6.3
CDE,6.41,0.38,6.28
XIACF,7.4,0.43,6.17
TKAMY,10.09,0.58,6.1
