symbol,price,price_change,price_percent_change
VRN,5.78,0.08,1.4
LUV,32.0,3.82,13.56
HSAI,19.35,3.34,20.83
XPEV,25.48,2.53,11.02
MWA,27.05,0.15,0.56
KTOS,29.35,0.17,0.6
BECN,118.6,0.08,0.07
BILI,22.99,1.18,5.39
GDS,38.4,1.99,5.46
VNET,12.0,0.57,5.0
STVN,22.6,1.04,4.82
ELF,73.22,-0.82,-1.1
AES,11.9,0.12,1.02
BEKE,23.53,1.07,4.74
SMCAY,19.62,0.77,4.08
CWEN-A,27.04,0.07,0.26
NEE-PR,43.22,1.63,3.92
APGE,37.74,0.2,0.53
OLCLY,21.8,0.74,3.51
TNXP,13.1,-0.37,-2.74
BEPC,28.58,-0.03,-0.12
FRO,15.72,0.58,3.83
SOBO,25.18,0.32,1.31
DVA,151.76,-0.13,-0.09
BMY,62.81,-0.3,-0.47
