symbol,price,price_change,price_percent_change
PTGX,57.13,18.78,48.84
VRN,5.61,0.7,14.25
ELF,76.85,6.17,8.73
MWA,27.22,2.17,8.66
DNBBF,25.62,1.99,8.42
KTOS,29.36,2.07,7.59
BECN,119.4,8.3,7.47
TNXP,13.91,0.89,6.87
ENPH,65.44,3.81,6.19
WSC,29.81,1.74,6.2
LSRCY,20.05,1.14,6.03
BLTE,66.8,3.61,5.71
AMKBY,9.63,0.51,5.59
TTC,77.28,4.03,5.5
NSP,95.25,4.89,5.42
AAP,37.09,1.72,4.86
DFH,26.61,1.24,4.89
AES,11.79,0.54,4.8
SCI,84.65,3.79,4.68
REGN,741.92,34.41,4.86
HCA,345.19,15.04,4.56
DRPRY,6.21,0.27,4.55
ADM,51.67,2.23,4.52
EQNR,24.19,1.02,4.4
ETSY,48.83,2.03,4.34
