Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Source,Timestamp
TNXP,Tonix Pharmaceuticals Holding Corp.,,10.96,3.16,40.51,2.67M,1.63M,61.271M,-,-99.34%,,Yahoo Finance,2025-03-06 01:29:08
SITM,SiTime Corporation,,182.19,29.77,19.53,709824,274472,4.299B,-,64.05%,,Yahoo Finance,2025-03-06 01:29:08
ASTS,"AST SpaceMobile, Inc.",,33.8,5.19,18.14,27.443M,10.738M,10.697B,-,822.90%,,Yahoo Finance,2025-03-06 01:29:08
VNET,"VNET Group, Inc.",,12.47,1.76,16.43,12.801M,7.436M,3.329B,-,577.85%,,Yahoo Finance,2025-03-06 01:29:08
MRNA,"Moderna, Inc.",,35.21,4.84,15.94,21.703M,11.133M,13.585B,-,-69.04%,,Yahoo Finance,2025-03-06 01:29:08
MP,MP Materials Corp.,,25.66,3.21,14.3,4.978M,3.085M,4.194B,-,52.31%,,Yahoo Finance,2025-03-06 01:29:08
DB,Deutsche Bank Aktiengesellschaft,,23.88,2.89,13.77,10.77M,2.223M,48.244B,12.06,53.44%,,Yahoo Finance,2025-03-06 01:29:08
YMM,Full Truck Alliance Co. Ltd.,,13.26,1.59,13.62,22.349M,8M,13.867B,34.89,81.78%,,Yahoo Finance,2025-03-06 01:29:08
IVPAF,Ivanhoe Mines Ltd.,,10.07,1.2,13.53,39316,250096,13.621B,59.24,-17.10%,,Yahoo Finance,2025-03-06 01:29:08
CE,Celanese Corporation,,54.33,6.12,12.69,4.961M,3.025M,5.94B,-,-68.18%,,Yahoo Finance,2025-03-06 01:29:08
HII,"Huntington Ingalls Industries, Inc.",,193.59,21.29,12.36,1.782M,721906,7.575B,13.87,-41.39%,,Yahoo Finance,2025-03-06 01:29:08
MSTR,MicroStrategy Incorporated,,308.55,33.4,12.14,25.847M,19.628M,80.311B,-,120.79%,,Yahoo Finance,2025-03-06 01:29:08
FUTU,Futu Holdings Limited,,121.09,12.91,11.93,3.668M,2.6M,16.701B,29.68,91.06%,,Yahoo Finance,2025-03-06 01:29:08
MT,ArcelorMittal S.A.,,33.69,3.43,11.34,5.868M,1.985M,26.204B,19.93,19.23%,,Yahoo Finance,2025-03-06 01:29:08
DVCMY,Davide Campari-Milano N.V.,,6.68,0.67,11.15,54029,157272,8.022B,37.11,-34.67%,,Yahoo Finance,2025-03-06 01:29:08
TYEKF,thyssenkrupp AG,,9.8,0.97,10.99,32192,12425,6.245B,-,70.32%,,Yahoo Finance,2025-03-06 01:29:08
BASFY,BASF SE,,14.46,1.43,10.97,193907,267556,51.624B,103.29,-1.44%,,Yahoo Finance,2025-03-06 01:29:08
RKT,"Rocket Companies, Inc.",,14.9,1.46,10.86,8.129M,3.507M,29.611B,70.95,6.75%,,Yahoo Finance,2025-03-06 01:29:08
SE,Sea Limited,,146.31,14.0,10.58,9.385M,3.608M,84.032B,975.40,123.42%,,Yahoo Finance,2025-03-06 01:29:08
CODYY,Compagnie de Saint-Gobain S.A.,,22.01,2.09,10.49,19955,142860,54.813B,18.50,34.23%,,Yahoo Finance,2025-03-06 01:29:08
HSAI,Hesai Group,,17.37,1.63,10.36,2.596M,3.431M,2.214B,-,188.28%,,Yahoo Finance,2025-03-06 01:29:08
ZK,ZEEKR Intelligent Technology Holding Limited,,28.62,2.65,10.2,780139,627008,7.086B,-,-8.10%,,Yahoo Finance,2025-03-06 01:29:08
BF-A,Brown-Forman Corporation,,35.86,3.32,10.2,247111,150394,17B,16.92,-42.59%,,Yahoo Finance,2025-03-06 01:29:08
GDS,GDS Holdings Limited,,39.06,3.62,10.2,4.97M,2.728M,7.379B,-,459.87%,,Yahoo Finance,2025-03-06 01:29:08
CLSK,"CleanSpark, Inc.",,8.55,0.79,10.18,22.741M,26.992M,2.401B,-,-53.18%,,Yahoo Finance,2025-03-06 01:29:08
