Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Source,Timestamp
QBTS,D-Wave Quantum Inc.,,10.15,3.24,46.89,259.529M,87.503M,2.706B,-,331.91%,,Yahoo Finance,2025-03-15 16:30:02
RGTI,"Rigetti Computing, Inc.",,11.22,2.47,28.23,124.453M,137.918M,3.207B,-,452.71%,,Yahoo Finance,2025-03-15 16:30:02
RBRK,"Rubrik, Inc.",,70.64,15.36,27.79,6.952M,2.43M,13.086B,-,90.92%,,Yahoo Finance,2025-03-15 16:30:02
SMTC,Semtech Corporation,,39.6,6.89,21.06,8.022M,2.647M,3.413B,-,75.77%,,Yahoo Finance,2025-03-15 16:30:02
IONQ,"IonQ, Inc.",,25.0,3.63,16.99,37.559M,26.056M,5.972B,-,162.05%,,Yahoo Finance,2025-03-15 16:30:02
PTON,"Peloton Interactive, Inc.",,7.05,0.98,16.14,31.001M,14.578M,2.749B,-,61.70%,,Yahoo Finance,2025-03-15 16:30:02
SOUN,"SoundHound AI, Inc.",,10.34,1.43,16.05,41.739M,62.255M,4.125B,-,25.49%,,Yahoo Finance,2025-03-15 16:30:02
OKLO,Oklo Inc.,,27.72,3.77,15.74,13.128M,18.507M,3.792B,-,154.55%,,Yahoo Finance,2025-03-15 16:30:02
DOCU,"DocuSign, Inc.",,85.76,11.06,14.81,11.925M,2.638M,17.325B,16.88,47.56%,,Yahoo Finance,2025-03-15 16:30:02
WXXWY,WuXi Biologics (Cayman) Inc.,,6.87,0.87,14.5,22153,46541,14.072B,40.41,90.83%,,Yahoo Finance,2025-03-15 16:30:02
ULTA,"Ulta Beauty, Inc.",,357.48,43.01,13.68,3.368M,963988,16.577B,14.10,-32.85%,,Yahoo Finance,2025-03-15 16:30:02
WRD,WeRide Inc.,,18.4,2.13,13.09,7.826M,1.617M,5.051B,-,11.18%,,Yahoo Finance,2025-03-15 16:30:02
ROOT,"Root, Inc.",,151.73,17.5,13.04,1.141M,527590,2.306B,82.46,156.60%,,Yahoo Finance,2025-03-15 16:30:02
MSTR,MicroStrategy Incorporated,,297.49,34.23,13.0,23.599M,19.65M,77.472B,-,97.96%,,Yahoo Finance,2025-03-15 16:30:02
VNET,"VNET Group, Inc.",,11.65,1.25,12.02,10.656M,8.741M,3.112B,582.50,526.34%,,Yahoo Finance,2025-03-15 16:30:02
TEM,"Tempus AI, Inc.",,47.17,5.0,11.87,10.87M,12.314M,8.123B,-,17.19%,,Yahoo Finance,2025-03-15 16:30:02
CAR,"Avis Budget Group, Inc.",,61.95,6.46,11.64,2.108M,798381,2.175B,-,-42.70%,,Yahoo Finance,2025-03-15 16:30:02
AUR,"Aurora Innovation, Inc.",,6.97,0.71,11.34,24.1M,14.871M,12.131B,-,185.66%,,Yahoo Finance,2025-03-15 16:30:02
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,285.93,27.44,10.62,93849,50975,7.922B,13.66,-5.60%,,Yahoo Finance,2025-03-15 16:30:02
RSI,"Rush Street Interactive, Inc.",,10.7,1.02,10.54,2.171M,2.083M,2.44B,356.67,81.36%,,Yahoo Finance,2025-03-15 16:30:02
ALAB,"Astera Labs, Inc.",,72.18,6.86,10.5,3.678M,5.421M,11.704B,-,16.36%,,Yahoo Finance,2025-03-15 16:30:02
CCI,Crown Castle Inc.,,103.22,9.69,10.37,8.715M,3.269M,44.859B,-,-1.08%,,Yahoo Finance,2025-03-15 16:30:02
WGS,GeneDx Holdings Corp.,,98.47,9.15,10.24,915450,1.032M,2.764B,-,919.36%,,Yahoo Finance,2025-03-15 16:30:02
TGTX,"TG Therapeutics, Inc.",,40.84,3.78,10.2,4.797M,2.589M,6.415B,272.27,171.36%,,Yahoo Finance,2025-03-15 16:30:02
FUTU,Futu Holdings Limited,,118.47,10.95,10.18,4.581M,2.57M,16.34B,23.69,107.92%,,Yahoo Finance,2025-03-15 16:30:02
