Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Source,Timestamp
FINV,FinVolution Group,,10.8,1.68,18.42,3.331M,804863,2.806B,9.39,88.04%,,Yahoo Finance,2025-03-18 12:30:02
JBSAY,JBS S.A.,,13.55,1.9,16.31,168095,80348,15.028B,11.68,25.85%,,Yahoo Finance,2025-03-18 12:30:02
TNXP,Tonix Pharmaceuticals Holding Corp.,,18.45,2.17,13.33,975403,1.601M,103.144M,-,-98.55%,,Yahoo Finance,2025-03-18 12:30:02
TME,Tencent Music Entertainment Group,,14.73,1.67,12.78,23.282M,7.488M,23.388B,27.79,18.30%,,Yahoo Finance,2025-03-18 12:30:02
TKAMY,thyssenkrupp AG,,11.31,1.26,12.54,79088,125634,7.041B,-,89.62%,,Yahoo Finance,2025-03-18 12:30:02
ESLT,Elbit Systems Ltd.,,410.17,40.91,11.08,127850,46250,18.292B,70.36,82.87%,,Yahoo Finance,2025-03-18 12:30:02
NEXT,NextDecade Corporation,,7.94,0.69,9.53,1.355M,1.745M,2.068B,-,31.82%,,Yahoo Finance,2025-03-18 12:30:02
BVHMF,Vistry Group PLC,,8.2,0.65,8.61,15650,21292,2.693B,8.72,-48.99%,,Yahoo Finance,2025-03-18 12:30:02
RIVN,"Rivian Automotive, Inc.",,11.66,0.64,5.85,17.011M,31.967M,13.19B,-,-2.13%,,Yahoo Finance,2025-03-18 12:30:02
IMPUY,Impala Platinum Holdings Limited,,6.64,0.36,5.73,193236,202241,5.986B,-,68.07%,,Yahoo Finance,2025-03-18 12:30:02
BRRLY,Barry Callebaut AG,,13.6,0.67,5.18,21505,72053,7.454B,34.87,-6.28%,,Yahoo Finance,2025-03-18 12:30:02
CNX,CNX Resources Corporation,,32.36,1.63,5.3,1.121M,3.275M,4.817B,-,42.40%,,Yahoo Finance,2025-03-18 12:30:02
ALHC,"Alignment Healthcare, Inc.",,16.91,0.82,5.1,1.844M,2.048M,3.244B,-,225.71%,,Yahoo Finance,2025-03-18 12:30:02
CDE,"Coeur Mining, Inc.",,6.74,0.31,4.82,11.854M,17.36M,4.304B,44.93,112.21%,,Yahoo Finance,2025-03-18 12:30:02
RNMBY,Rheinmetall AG,,315.2,14.2,4.72,26467,96075,68.426B,129.18,187.02%,,Yahoo Finance,2025-03-18 12:30:02
XIACF,Xiaomi Corporation,,7.75,0.34,4.62,23861,172010,188.918B,36.90,287.17%,,Yahoo Finance,2025-03-18 12:30:02
NIO,NIO Inc.,,5.26,0.23,4.57,57.576M,51.638M,10.687B,-,-3.08%,,Yahoo Finance,2025-03-18 12:30:02
DB,Deutsche Bank Aktiengesellschaft,,25.0,1.05,4.38,2.96M,2.996M,48.597B,16.78,60.85%,,Yahoo Finance,2025-03-18 12:30:02
IPGP,IPG Photonics Corporation,,65.74,2.42,3.83,120846,335041,2.797B,-,-27.87%,,Yahoo Finance,2025-03-18 12:30:02
XIACY,Xiaomi Corporation,,38.35,1.38,3.72,316097,690443,186.993B,36.18,232.17%,,Yahoo Finance,2025-03-18 12:30:02
AU,AngloGold Ashanti plc,,34.29,1.3,3.96,1.539M,2.419M,17.269B,14.72,62.75%,,Yahoo Finance,2025-03-18 12:30:02
MLTX,MoonLake Immunotherapeutics,,40.16,1.49,3.85,198725,385927,2.541B,-,-23.56%,,Yahoo Finance,2025-03-18 12:30:02
VWDRY,Vestas Wind Systems A/S,,5.61,0.21,3.89,24411,476681,16.891B,31.17,-41.95%,,Yahoo Finance,2025-03-18 12:30:02
AG,First Majestic Silver Corp.,,7.38,0.29,4.09,13.467M,17.895M,3.572B,-,34.79%,,Yahoo Finance,2025-03-18 12:30:02
BAYRY,Bayer Aktiengesellschaft,,6.79,0.24,3.66,133026,1.259M,26.683B,-,-6.44%,,Yahoo Finance,2025-03-18 12:30:02
