Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Source,Timestamp
GAP,"The Gap, Inc.",,21.5,2.02,10.37,13.901M,5.276M,8.108B,9.77,-6.88%,,Yahoo Finance,2025-03-07 16:54:02
MRNA,"Moderna, Inc.",,37.46,3.16,9.21,10.12M,11.359M,14.453B,-,-66.71%,,Yahoo Finance,2025-03-07 16:54:02
HMY,Harmony Gold Mining Company Limited,,11.74,0.89,8.2,6.682M,6.629M,7.304B,12.90,51.96%,,Yahoo Finance,2025-03-07 16:54:02
AKRBF,Aker BP ASA,,21.0,1.58,8.14,25200,1825,13.255B,7.24,-18.65%,,Yahoo Finance,2025-03-07 16:54:02
BKRIF,Bank of Ireland Group plc,,13.15,0.95,7.79,49600,7871,13.169B,8.59,37.70%,,Yahoo Finance,2025-03-07 16:54:02
CPB,The Campbell's Company,,42.97,3.17,7.98,1.578M,3.125M,12.811B,24.84,-5.82%,,Yahoo Finance,2025-03-07 16:54:02
VAL,Valaris Limited,,37.26,2.43,6.98,1.595M,1.871M,2.647B,7.28,-47.24%,,Yahoo Finance,2025-03-07 16:54:02
WBA,"Walgreens Boots Alliance, Inc.",,11.34,0.73,6.93,68.367M,27.265M,9.795B,-,-49.91%,,Yahoo Finance,2025-03-07 16:54:02
CAG,"Conagra Brands, Inc.",,27.72,1.74,6.7,4.16M,5.632M,13.231B,26.91,-7.64%,,Yahoo Finance,2025-03-07 16:54:02
NE,Noble Corporation plc,,24.47,1.47,6.39,1.616M,1.96M,3.895B,8.27,-47.72%,,Yahoo Finance,2025-03-07 16:54:02
SJM,The J. M. Smucker Company,,118.68,7.19,6.45,531826,1.193M,12.63B,-,-6.75%,,Yahoo Finance,2025-03-07 16:54:02
ZIM,ZIM Integrated Shipping Services Ltd.,,20.95,1.18,5.97,3.476M,5.349M,2.522B,1.75,79.89%,,Yahoo Finance,2025-03-07 16:54:02
TDW,Tidewater Inc.,,43.53,2.53,6.17,369675,1.235M,2.24B,12.80,-49.66%,,Yahoo Finance,2025-03-07 16:54:02
TWODY,Taylor Wimpey plc,,14.8,0.83,5.94,40137,214249,5.353B,18.50,-36.50%,,Yahoo Finance,2025-03-07 16:54:02
MPW,"Medical Properties Trust, Inc.",,5.99,0.34,5.93,7.732M,13.532M,3.595B,-,35.17%,,Yahoo Finance,2025-03-07 16:54:02
BAH,Booz Allen Hamilton Holding Corporation,,114.5,6.17,5.7,1.261M,2.206M,14.501B,17.12,-26.38%,,Yahoo Finance,2025-03-07 16:54:02
FLO,"Flowers Foods, Inc.",,19.67,1.03,5.53,776568,1.943M,4.147B,16.81,-18.74%,,Yahoo Finance,2025-03-07 16:54:02
BILI,Bilibili Inc.,,23.54,1.26,5.67,6.588M,6.995M,10.08B,-,100.18%,,Yahoo Finance,2025-03-07 16:54:02
AVTR,"Avantor, Inc.",,17.05,0.88,5.41,7.107M,5.583M,11.606B,16.39,-36.93%,,Yahoo Finance,2025-03-07 16:54:02
RGTI,"Rigetti Computing, Inc.",,8.97,0.46,5.41,44.18M,149.234M,2.543B,-,329.80%,,Yahoo Finance,2025-03-07 16:54:02
KR,The Kroger Co.,,67.18,3.4,5.33,3.329M,6.421M,44.204B,18.31,13.95%,,Yahoo Finance,2025-03-07 16:54:02
GIS,"General Mills, Inc.",,65.46,3.24,5.21,3.673M,4.761M,36.084B,14.23,-4.66%,,Yahoo Finance,2025-03-07 16:54:02
HSY,The Hershey Company,,189.48,9.47,5.26,875853,2.345M,38.353B,17.34,-7.48%,,Yahoo Finance,2025-03-07 16:54:02
PII,Polaris Inc.,,47.24,2.27,5.06,945908,1.558M,2.65B,24.23,-51.47%,,Yahoo Finance,2025-03-07 16:54:02
KHC,The Kraft Heinz Company,,32.42,1.55,5.0,5.352M,10.283M,38.748B,14.35,-10.22%,,Yahoo Finance,2025-03-07 16:54:02
