Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Source,Timestamp
PTGX,"Protagonist Therapeutics, Inc.",,55.95,17.6,45.89,5.195M,725662,3.434B,13.23,27.32%,,Yahoo Finance,2025-03-10 16:30:03
VRN,Veren Inc.,,5.7,0.79,16.09,65.636M,16.737M,3.508B,17.81,-34.97%,,Yahoo Finance,2025-03-10 16:30:03
DNBBF,DNB Bank ASA,,25.62,1.99,8.42,1.045M,51662,37.986B,9.52,25.81%,,Yahoo Finance,2025-03-10 16:30:03
MWA,"Mueller Water Products, Inc.",,26.9,1.85,7.39,4.73M,1.336M,4.213B,30.92,59.35%,,Yahoo Finance,2025-03-10 16:30:03
KTOS,"Kratos Defense & Security Solutions, Inc.",,29.18,1.89,6.93,7.147M,2.069M,4.46B,265.27,50.44%,,Yahoo Finance,2025-03-10 16:30:03
BECN,"Beacon Roofing Supply, Inc.",,118.52,7.42,6.68,4.61M,821962,7.299B,20.87,30.12%,,Yahoo Finance,2025-03-10 16:30:03
LSRCY,Lasertec Corporation,,20.05,1.14,6.03,36612,116200,9.042B,16.71,-62.68%,,Yahoo Finance,2025-03-10 16:30:03
WSC,WillScot Holdings Corporation,,29.76,1.69,6.02,8.749M,2.445M,5.463B,198.40,-39.04%,,Yahoo Finance,2025-03-10 16:30:03
BLTE,"Belite Bio, Inc",,66.95,3.76,5.95,168196,39818,2.132B,-,41.68%,,Yahoo Finance,2025-03-10 16:30:03
TTC,The Toro Company,,77.24,3.99,5.45,1.828M,1.078M,7.71B,19.75,-17.41%,,Yahoo Finance,2025-03-10 16:30:03
REGN,"Regeneron Pharmaceuticals, Inc.",,744.83,37.32,5.27,1.6M,899898,81.429B,19.42,-26.64%,,Yahoo Finance,2025-03-10 16:30:03
AMKBY,A.P. Møller - Mærsk A/S,,9.58,0.46,5.04,96256,201637,29.274B,4.96,31.27%,,Yahoo Finance,2025-03-10 16:30:03
STVN,Stevanato Group S.p.A.,,22.6,1.04,4.82,569085,373260,6.168B,49.13,-24.48%,,Yahoo Finance,2025-03-10 16:30:03
ELF,"e.l.f. Beauty, Inc.",,74.04,3.36,4.75,4.771M,2.645M,4.176B,44.34,-63.56%,,Yahoo Finance,2025-03-10 16:30:03
AES,The AES Corporation,,11.78,0.53,4.71,18.242M,15.023M,8.376B,4.97,-31.36%,,Yahoo Finance,2025-03-10 16:30:03
NEE,"NextEra Energy, Inc.",,76.16,3.33,4.57,19.844M,10.844M,156.663B,22.60,25.85%,,Yahoo Finance,2025-03-10 16:30:03
DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21,0.27,4.55,23182,264724,28.287B,13.21,-32.54%,,Yahoo Finance,2025-03-10 16:30:03
NSP,"Insperity, Inc.",,94.21,3.85,4.26,748091,439558,3.507B,38.93,-10.39%,,Yahoo Finance,2025-03-10 16:30:03
EQNR,Equinor ASA,,24.15,0.98,4.23,5.132M,3.958M,65.589B,7.77,-10.47%,,Yahoo Finance,2025-03-10 16:30:03
FIZZ,National Beverage Corp.,,42.56,1.69,4.14,353415,185420,3.984B,21.39,-15.87%,,Yahoo Finance,2025-03-10 16:30:03
SMCAY,SMC Corporation,,19.62,0.77,4.08,77577,646891,25.012B,23.08,-35.33%,,Yahoo Finance,2025-03-10 16:30:03
SCI,Service Corporation International,,84.16,3.3,4.08,2.34M,1.141M,12.137B,23.84,7.66%,,Yahoo Finance,2025-03-10 16:30:03
CWEN-A,"Clearway Energy, Inc.",,26.97,1.05,4.05,456511,192033,5.673B,35.96,25.10%,,Yahoo Finance,2025-03-10 16:30:03
WES,"Western Midstream Partners, LP",,40.49,1.57,4.03,1.868M,1.329M,15.44B,10.07,14.50%,,Yahoo Finance,2025-03-10 16:30:03
HOG,"Harley-Davidson, Inc.",,27.14,1.05,4.02,5.462M,2.09M,3.38B,7.89,-33.14%,,Yahoo Finance,2025-03-10 16:30:03
