Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Source,Timestamp
GAP,"The Gap, Inc.",,21.55,2.07,10.62,13.972M,5.276M,8.127B,9.79,-6.88%,,Yahoo Finance,2025-03-07 16:56:03
MRNA,"Moderna, Inc.",,37.73,3.43,10.0,10.344M,11.359M,14.558B,-,-66.71%,,Yahoo Finance,2025-03-07 16:56:03
HMY,Harmony Gold Mining Company Limited,,11.73,0.88,8.11,6.741M,6.629M,7.298B,12.89,51.96%,,Yahoo Finance,2025-03-07 16:56:03
AKRBF,Aker BP ASA,,21.0,1.58,8.14,25200,1825,13.255B,7.24,-18.65%,,Yahoo Finance,2025-03-07 16:56:03
BKRIF,Bank of Ireland Group plc,,13.15,0.95,7.79,49600,7871,13.169B,8.59,37.70%,,Yahoo Finance,2025-03-07 16:56:03
CPB,The Campbell's Company,,42.89,3.1,7.79,1.604M,3.125M,12.789B,24.79,-5.82%,,Yahoo Finance,2025-03-07 16:56:03
VAL,Valaris Limited,,37.32,2.49,7.14,1.62M,1.871M,2.651B,7.29,-47.24%,,Yahoo Finance,2025-03-07 16:56:03
WBA,"Walgreens Boots Alliance, Inc.",,11.35,0.75,7.08,68.64M,27.265M,9.808B,-,-49.91%,,Yahoo Finance,2025-03-07 16:56:03
CAG,"Conagra Brands, Inc.",,27.68,1.7,6.54,4.233M,5.632M,13.212B,26.87,-7.64%,,Yahoo Finance,2025-03-07 16:56:03
TDW,Tidewater Inc.,,43.62,2.62,6.39,371874,1.235M,2.245B,12.83,-49.66%,,Yahoo Finance,2025-03-07 16:56:03
ZIM,ZIM Integrated Shipping Services Ltd.,,21.0,1.23,6.24,3.521M,5.349M,2.529B,1.76,79.89%,,Yahoo Finance,2025-03-07 16:56:03
NE,Noble Corporation plc,,24.5,1.5,6.52,1.646M,1.96M,3.9B,8.28,-47.72%,,Yahoo Finance,2025-03-07 16:56:03
SJM,The J. M. Smucker Company,,118.41,6.92,6.2,540953,1.193M,12.601B,-,-6.75%,,Yahoo Finance,2025-03-07 16:56:03
BILI,Bilibili Inc.,,23.56,1.28,5.72,6.61M,6.995M,10.085B,-,100.18%,,Yahoo Finance,2025-03-07 16:56:03
TWODY,Taylor Wimpey plc,,14.8,0.83,5.94,40237,214249,5.353B,18.50,-36.50%,,Yahoo Finance,2025-03-07 16:56:03
MPW,"Medical Properties Trust, Inc.",,5.99,0.34,5.93,7.75M,13.532M,3.595B,-,35.17%,,Yahoo Finance,2025-03-07 16:56:03
BAH,Booz Allen Hamilton Holding Corporation,,114.97,6.64,6.13,1.289M,2.206M,14.561B,17.19,-26.38%,,Yahoo Finance,2025-03-07 16:56:03
RGTI,"Rigetti Computing, Inc.",,9.01,0.49,5.82,44.362M,149.234M,2.553B,-,329.80%,,Yahoo Finance,2025-03-07 16:56:03
KR,The Kroger Co.,,67.16,3.38,5.3,3.386M,6.421M,44.191B,18.30,13.95%,,Yahoo Finance,2025-03-07 16:56:03
AVTR,"Avantor, Inc.",,17.08,0.91,5.6,7.141M,5.583M,11.626B,16.42,-36.93%,,Yahoo Finance,2025-03-07 16:56:03
FLO,"Flowers Foods, Inc.",,19.63,0.99,5.31,780796,1.943M,4.139B,16.78,-18.74%,,Yahoo Finance,2025-03-07 16:56:03
CACI,CACI International Inc,,377.94,18.98,5.29,207337,438191,8.473B,17.73,-4.06%,,Yahoo Finance,2025-03-07 16:56:03
HSY,The Hershey Company,,189.2,9.19,5.1,882981,2.345M,38.295B,17.31,-7.48%,,Yahoo Finance,2025-03-07 16:56:03
PII,Polaris Inc.,,47.29,2.32,5.16,949443,1.558M,2.653B,24.25,-51.47%,,Yahoo Finance,2025-03-07 16:56:03
SWKS,"Skyworks Solutions, Inc.",,70.42,3.49,5.21,1.861M,3.142M,11.319B,21.67,-37.05%,,Yahoo Finance,2025-03-07 16:56:03
