,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,VIAV,Viavi Solutions Inc.,,12.04 +2.05 (+20.52%),2.05,+20.52%,17.593M,1.653M,2.671B,-,4.32%,
1,TEAM,Atlassian Corporation,,306.78 +39.83 (+14.92%),39.83,+14.92%,8.319M,2.1M,79.896B,-,24.81%,
2,ASTS,"AST SpaceMobile, Inc.",,20.24 +2.03 (+11.15%),2.03,+11.15%,26.265M,8.912M,5.864B,-,523.94%,
3,BEN,"Franklin Resources, Inc.",,22.24 +2.09 (+10.37%),2.09,+10.37%,17.703M,3.97M,11.653B,26.16,-25.49%,
